0;383;886;1663
1;915;593;1728
2;386;492;741
3;421;362;789
4;690;859;1422
5;926;540;1566
6;172;136;147
7;368;567;996
8;782;1130;1192
9;123;67;1202
0;929;1002;1824
1;58;269;836
2;393;856;1067
3;42;1029;1602
4;421;119;703
5;537;398;1522
6;315;1170;1583
7;526;91;1071
8;956;273;335
9;170;196;677
0;305;525;809
1;327;1136;2041
2;846;129;1042
3;857;924;2019
4;582;945;959
5;367;1034;1798
6;43;950;2037
7;808;876;2054
8;788;384;987
9;651;1154;1953
0;932;660;1136
1;368;139;551
2;226;186;1080
3;539;795;1765
4;434;778;1845
5;601;497;1399
6;317;492;1144
7;756;901;1581
8;286;241;1306
9;689;844;1863
0;440;729;1560
1;117;897;1868
2;481;275;584
3;927;567;823
4;497;753;939
5;965;106;789
6;219;224;552
7;871;932;961
8;503;419;689
9;368;508;1623
0;340;549;1545
1;723;218;1263
2;846;651;772
3;555;779;1467
4;764;1028;1269
5;350;793;1493
6;34;964;1888
7;914;587;1243
8;743;891;1118
9;365;1059;1795
0;432;551;988
1;228;875;1882
2;474;121;579
3;395;29;66
4;235;193;411
5;428;543;1554
6;928;729;1505
7;404;43;206
8;613;938;1144
9;840;904;1322
0;128;288;1257
1;917;317;1313
2;324;543;813
3;183;890;1189
4;772;725;1569
5;590;305;844
6;954;586;655
7;82;942;1406
8;197;1107;1662
9;804;1148;1759
0;622;228;1127
1;343;946;1314
2;340;622;1533
3;810;405;1006
4;661;930;1408
5;305;120;1256
6;444;1026;1548
7;465;308;924
8;282;458;982
9;637;462;1286
0;600;36;1088
1;899;579;1729
2;468;71;644
3;131;681;811
4;933;1094;2154
5;163;799;1980
6;899;196;355
7;773;13;481
8;190;295;1221
9;466;284;824
0;90;884;1460
1;542;336;643
2;445;156;535
3;418;887;1099
4;348;172;631
5;9;1136;1546
6;342;1187;1793
7;301;913;1885
8;321;55;474
9;599;921;1625
0;939;211;951
1;667;905;1133
2;127;350;734
3;658;720;1144
4;422;869;1465
5;81;30;914
6;292;372;1244
7;850;25;610
8;222;499;1139
9;42;698;1411
0;298;590;1514
1;590;209;1190
2;819;136;268
3;155;794;798
4;379;1169;2042
5;776;450;505
6;860;142;921
7;884;793;1598
8;621;367;471
9;613;361;1515
0;326;1059;1603
1;202;802;1908
2;784;421;463
3;868;1128;2317
4;872;708;1866
5;498;36;444
6;753;248;1151
7;333;133;981
8;890;954;1321
9;746;368;1097
0;500;846;1434
1;797;1049;1239
2;303;1033;1996
3;497;653;1545
4;686;1125;1877
5;996;775;1563
6;157;129;1165
7;460;614;935
8;460;704;1132
9;27;50;1198
0;556;902;1696
1;697;1099;1742
2;39;2;830
3;403;500;781
4;647;138;697
5;151;935;1069
6;339;92;707
7;127;504;533
8;49;564;1649
9;429;143;1278
0;177;100;938
1;971;149;1238
2;367;388;1480
3;795;743;1487
4;829;790;1672
5;340;741;1710
6;826;632;1693
7;42;360;1077
8;23;761;842
9;309;390;615
0;996;1167;1844
1;234;690;1516
2;524;857;871
3;168;1005;1763
4;312;586;1286
5;346;726;1320
6;916;152;530
7;529;546;1636
8;647;970;1621
9;80;431;624
0;857;1027;1539
1;886;414;769
2;512;890;902
3;479;410;579
4;189;674;1429
5;641;620;1253
6;987;688;1826
7;566;970;1454
8;856;417;1023
9;260;649;1686
0;205;259;276
1;518;545;1328
2;873;458;931
3;637;1089;1972
4;607;78;435
5;314;471;600
6;100;259;1077
7;438;425;1013
8;74;833;990
9;681;693;1851
0;270;1099;1316
1;839;1169;1932
2;622;394;767
3;847;831;1093
4;682;590;1282
5;791;257;572
6;521;557;1131
7;491;1147;1298
8;231;1021;1158
9;740;654;1484
